# q qerr q^2*I(q) q^2*I(q)err
1.567836796559143528e-02 1.947494635411570798e-05 1.084014119618635467e-02 1.769787385491827791e+01
1.574554801085824296e-02 1.947076164288567075e-05 1.032760821534950239e-02 1.709193233366007547e+01
1.581340897978961851e-02 1.988276085273499283e-05 1.001969154551387263e-02 1.682298057196278762e+01
1.588109215151966430e-02 1.951570188793572402e-05 9.592198758793642199e-03 1.579457225149728927e+01
1.594878496693558426e-02 1.979026973216340871e-05 9.398749748107998805e-03 1.554312761994418857e+01
1.601624419018583129e-02 1.943621304843409024e-05 9.061774880683604039e-03 1.524442839438593644e+01
1.608353417451158229e-02 1.959601217952451616e-05 8.910305368253513061e-03 1.494452817515413834e+01
1.615133649268620311e-02 1.977442758519896163e-05 8.638571456366274035e-03 1.456751509603229167e+01
1.621874287774071124e-02 1.939256892170586799e-05 8.491616256919099284e-03 1.444883595479229221e+01
1.628622333498096209e-02 1.982466244371542047e-05 8.317353047598421284e-03 1.430364435728999695e+01
1.635413901096635300e-02 1.964113140174468316e-05 8.190945712038495696e-03 1.407524471361590024e+01
1.642151928981590986e-02 1.947837278663099031e-05 8.006184282379896766e-03 1.411545215938200748e+01
1.648882584011792524e-02 1.954229345932029721e-05 7.928139492097693170e-03 1.355096213818606365e+01
1.655622385810261860e-02 1.951533040326772892e-05 7.653726380620369009e-03 1.347887248582276065e+01
1.662384573848091351e-02 1.973847814184342988e-05 7.693435186048772079e-03 1.347246550992795378e+01
1.669166066882543653e-02 1.966340837974326852e-05 7.534169682050401683e-03 1.328230233636784519e+01
1.675927789062191600e-02 1.961808442227395828e-05 7.404195350977571359e-03 1.298730073043875954e+01
1.682662941426884065e-02 1.949994058781741158e-05 7.437158079378702533e-03 1.290747965833529420e+01
1.689387477480402619e-02 1.942583365081347889e-05 7.123803917961815668e-03 1.266512233077989080e+01
1.696142678743032053e-02 1.978461430767946503e-05 7.199971859234073103e-03 1.264059214944182585e+01
1.702927250027599579e-02 1.958493633807088119e-05 7.155115973372162472e-03 1.262834797814793930e+01
1.709687095339639321e-02 1.962765376871731762e-05 7.018890520088015041e-03 1.256613288607813317e+01
1.716432167172592116e-02 1.959720979600766959e-05 7.084484521311614803e-03 1.233347201446463259e+01
1.723194529031426073e-02 1.959554995655508970e-05 6.994090092772096978e-03 1.229857623077529816e+01
1.729945416422318250e-02 1.958951670469734089e-05 6.960138745109579334e-03 1.228530437703912881e+01
1.736694859713323186e-02 1.945766217244958356e-05 6.955529326362237807e-03 1.223954096515711321e+01
1.743440173572355714e-02 1.963143861461853849e-05 6.913875835169348491e-03 1.234978526977256941e+01
1.750188121577154685e-02 1.959126225899517651e-05 6.887484064520457694e-03 1.222033619069472721e+01
1.756963199145729349e-02 1.972149190649607591e-05 6.841270372881395889e-03 1.216870894094993538e+01
1.763721823356540624e-02 1.956644222467874300e-05 6.860773428144256725e-03 1.205297173771776365e+01
1.770459921624783356e-02 1.935420595149153598e-05 6.802892894492803232e-03 1.223554486925449680e+01
1.777181918788659290e-02 1.965652753983368183e-05 6.830687998447004979e-03 1.215577341513230714e+01
1.783936264372377664e-02 1.956771673855307463e-05 6.822422961076059743e-03 1.202913154602963353e+01
1.790729991607338187e-02 1.949559369237391734e-05 7.045682733086489243e-03 1.156051908313811794e+01
1.797490925679142218e-02 1.946851032451739970e-05 7.008879780683868223e-03 1.121301477890327369e+01
1.804256780021978521e-02 1.950684423459884753e-05 7.062871144067850611e-03 1.100721220600573425e+01
1.811004686274786390e-02 1.938232626980559124e-05 7.118003344595285817e-03 1.066366587868753157e+01
1.817720543147504503e-02 1.920993701044250852e-05 7.183443657134396670e-03 1.066759643450083850e+01
1.824480841546828949e-02 1.978727198016085479e-05 7.243191355475377818e-03 1.048629165295931109e+01
1.831231795009998636e-02 1.940621614758888529e-05 7.291616185800728865e-03 1.021142625338104892e+01
1.837981617408345619e-02 1.977119472086120129e-05 7.412339787710327949e-03 1.030540972581153270e+01
1.844751949082464385e-02 1.962209961009681226e-05 7.474559893944264510e-03 1.004520553333034449e+01
1.851500968004810010e-02 1.941114412144124299e-05 7.546930582594302099e-03 9.971580017366743931e+00
1.858242531187188559e-02 1.964146393934438375e-05 7.611941627696719795e-03 9.844849856185968306e+00
1.865016535832147646e-02 1.955745806908965398e-05 7.640822808069399827e-03 9.844360996420544296e+00
1.871747699570871018e-02 1.946703150016766302e-05 7.798421753173262298e-03 9.850450244811330691e+00
1.878511113199836033e-02 1.971589378156087449e-05 7.868315481098842046e-03 9.744153141277051233e+00
1.885280581870331026e-02 1.954279509994568138e-05 7.963709546664832564e-03 9.641029786543048985e+00
1.892015904431596993e-02 1.951893433118005351e-05 8.017409967200132132e-03 9.823904804402804558e+00
1.898755736791239712e-02 1.948814314810238770e-05 8.065666806676136460e-03 9.520878642330091068e+00
1.905523891416409030e-02 1.967054385464177147e-05 8.228525165859904358e-03 9.505647562007890627e+00
1.912267058845279477e-02 1.950816363592128064e-05 8.292439439543232080e-03 9.552747668454854235e+00
1.919032867118023941e-02 1.977004700241807308e-05 8.469954501955520576e-03 9.444445206651508329e+00
1.925801448388132081e-02 1.961101118238946242e-05 8.693412114858547340e-03 9.583495677132789936e+00
1.932547204051668355e-02 1.944109496493393941e-05 8.797977299313116187e-03 9.453672591543792691e+00
1.939284051485142338e-02 1.953271935930317576e-05 8.921172108636986342e-03 9.432862357859590929e+00
1.946042053343832734e-02 1.962831379750921306e-05 9.067639032086349804e-03 9.944200357259367351e+00
1.952803551579826782e-02 1.970253115387671941e-05 9.326198300788282256e-03 1.077411173355256047e+01
1.959562247732266407e-02 1.954928748532739220e-05 9.525657287160722159e-03 1.059549899904311587e+01
1.966306884337718636e-02 1.958801091319749293e-05 9.525138965315689196e-03 1.031845629081033877e+01
1.973064170677927415e-02 1.969135444653277459e-05 9.570543421560988306e-03 1.042691298793506860e+01
1.979826153094198585e-02 1.952806529898017845e-05 9.677443673318440048e-03 1.068148842268141330e+01
1.986580364440256735e-02 1.959893167049366392e-05 9.856274748073344527e-03 1.087446602181772626e+01
1.993312741420933884e-02 1.950149036120332481e-05 9.922003057711398580e-03 1.099651631199871993e+01
2.000073481293653671e-02 1.968079536933825004e-05 1.020670943644816364e-02 1.149313528939889650e+01
2.006832609303402931e-02 1.966460228560249144e-05 1.051550549555836656e-02 1.171671640111847879e+01
2.013591840971231534e-02 1.954413170116519292e-05 1.054303503689519271e-02 1.187506432662966382e+01
2.020349084469671291e-02 1.964794823289569330e-05 1.085556408495241994e-02 1.231998162542559783e+01
2.027092642440401007e-02 1.949291113703954735e-05 1.124349806221720642e-02 1.289706959442421486e+01
2.033832625169804120e-02 1.958650065495134976e-05 1.183510292847822845e-02 1.356951001220547504e+01
2.040580558056786717e-02 1.963422993085187028e-05 1.214953089816999884e-02 1.428742920992948306e+01
2.047337251654082063e-02 1.959535685112898353e-05 1.276076518609168056e-02 1.519925634088619937e+01
2.054107978924788955e-02 1.977936007493121754e-05 1.361552118166956850e-02 1.635586443585969718e+01
